Hour,gaemn only,gaemn+window,gaemn + window + single-cell,gaemn + window + multicell,NAM Only
1,32.04532790399233,31.310713765452707,30.2131168723091,30.240422562532878,31.78502810599497
2,34.6169383784802,35.277175417694984,33.47170459500877,32.84125455966053,30.84917827201091
3,34.89535986968619,38.95138819500068,35.12508203021433,33.9284614005474,31.310482221564538
4,33.910225990919606,39.32792175519683,35.639609280144825,34.55617700828581,31.229124922771742
5,33.196020782981705,38.47408501798744,34.602376794398076,33.59964752812858,31.01248122931931
6,33.15481802450375,39.78803460361757,35.149145974153576,34.16697874359824,31.248565715281416
7,32.247763004691926,39.608532013109844,35.07032895669114,34.13585949340363,30.493730774266435
8,32.201461104955385,39.589993967327786,34.22198973226833,33.55290086881701,31.272690285404042
9,32.97422419630333,38.90758695991309,34.319408727840305,33.58224050498329,30.315908569692336
10,32.79154924628812,39.1716481581997,34.81960116910688,33.43129742699918,30.18360654004504
11,33.26458099483383,39.51672234593472,34.6255690388702,33.3002933252206,30.0018006428968
12,33.86392804237033,39.16153681359336,34.19728122698872,33.82251770847024,30.449634730518742
13,33.21855554918057,39.24270014350385,34.49860497851906,32.876479656755606,30.70396788917773
14,32.92003539288991,40.0469547110004,34.82237529553493,33.317333441929925,30.5376927426997
15,32.49595506762939,39.29114610042763,33.92929654359603,32.82831775025592,29.86073970345453
16,34.05522286993291,40.33319607259205,34.68964796212049,34.17841477806032,31.214565999215854
17,35.143363456789984,40.6667411390127,34.98366249176236,34.20277549800059,30.890916202455173
18,35.7321553651599,40.989829210867605,35.04091759858028,34.174633023625745,31.055187603612573
19,45.61514480117209,52.86518408009274,40.19078169924779,37.85989099712496,30.102734723138035
20,44.539676117369766,52.12855754472715,40.441521376928094,37.281296272460104,29.709773225487275
21,45.66645567947195,52.4379949131932,40.29480378963996,37.48181077309462,29.507369806414847
22,45.359273961539316,52.04552915639017,39.74249328586299,36.44164648036209,28.642609151985035
23,47.56902402130371,51.79070109507586,39.94045669467822,37.161772221855834,29.25281674137237
24,49.33648760667684,51.60470137411149,40.23678171565243,37.514403381927266,29.650985048460125

