Hour,gaemn only,gaemn+window,gaemn + window + single-cell,gaemn + window + multicell,NAM Only
1,35.601857698095195,35.06745821535523,33.98202910492019,33.473243223574826,33.363295308687235
2,36.87218630057073,38.15615718505252,36.031701348143514,34.689525843632076,31.998334433449543
3,35.21696152832396,39.06639904773036,35.67512223279971,34.04393954614261,31.967738551714724
4,36.243566078532766,40.28011466964136,35.562772517505515,34.50648705934622,31.04646413918473
5,33.70764078984603,39.87616890308773,35.94236830147245,34.09678237440215,30.20617379023879
6,33.43482807484356,39.263838563806836,35.60902537745661,33.68846987576841,30.829006047511868
7,32.414944832610935,37.97482517539758,34.33851761001888,32.96330286810037,30.562875201479294
8,33.66491247986623,39.13842442624902,35.57836814959769,33.86533933741983,29.692444782796382
9,32.75401266939047,38.170578216294935,34.67289919252328,33.18643239682375,30.417161280827994
10,33.06379291715132,38.75095563616829,34.5334054489103,32.90357992977105,30.42652508028102
11,31.76824908159654,37.96253801090217,33.69971158399425,32.66064301632698,30.209850688918166
12,32.760031470670526,39.82700281921559,35.15295567381453,34.13009163607027,30.82207420827615
13,33.88759115094186,39.1381164145161,34.24265156560245,32.885888466470924,31.090546905753943
14,33.23532375100055,39.12951060230419,34.103083608189515,32.821726238756206,31.049151280723308
15,34.06716100234964,39.8290704317669,34.481707666972106,33.60231603137259,31.43114415778742
16,34.7299018963326,40.99060589472863,36.30099613929528,34.485453885432655,31.82342520344455
17,35.91785834432042,42.45715511143617,37.00258663692961,34.901701902172036,31.586607257746667
18,36.68101467192408,43.686785979615244,37.07499466926552,35.57511012733181,32.57086724260683
19,41.12610087157295,47.84475604701212,36.749873077085276,33.27189030447424,26.058992934080013
20,40.912970378248936,48.33272683233403,37.10274750944834,32.89538522280361,25.845005305115624
21,40.91019973486254,47.98889629708589,35.44092575726959,32.65162423200767,25.09480206569265
22,42.272154756928956,47.17967077467385,35.99665144737444,32.26326629454564,24.639599245787153
23,44.50795373008176,49.220999515676105,37.1196005049654,33.38327109425707,25.264215029141102
24,45.66219317897562,47.934490627608774,36.11100026947737,33.36433040768196,25.24436092317719

